식품코드,식품코드명,농진청식품코드
04023,"두유, 대두",D0170000009a
04024,"대두, 콩가루",D0120020005n
04027,"동부, 생것",D0060000000a
04028,"동부, 말린것",D0060000001a
04029,"동부, 삶은것",D0060000009b
04033,"완두, 생것",D0080000000a
04034,"완두, 말린것",D0080000001a
04035,"완두, 삶은것",D0080000009b
04040,"쥐눈이콩(검정소립콩), 말린것",D0110000001a
04041,"팥, 검은색, 말린것",D0180010001a
04042,"팥, 검은색, 삶은것",D0180010009b
04044,"팥, 적색, 말린것",D0180020001a
04046,"팥, 적색, 삶은것",D0180020009b
04047,"팥, 앙금, 페이스트",D0190000009a
04064,"작두(도두), 말린것",D0090000001a
04066,"렌즈콩(렌틸콩), 빨간색, 말린것",D020001C021a
04067,"렌즈콩(렌틸콩), 갈색, 말린것",D020001C061a
04068,"병아리콩, 말린것",D0210010001a
04069,"쥐눈이콩(검정소립콩), 삶은것",D0110000009b
04070,"쥐눈이콩(검정소립콩), 볶은것",D0110000009n
04072,"대두, 검은색, 서리태, 삶은것",D0120050009b
04073,"대두, 검은색, 서리태, 볶은것",D0120050009n
04076,"두유, 검은콩",D0170010009a
04077,"두유, 검은콩, 검은참깨",D0170020009a
04078,"두유, 콩국물, 소금 0.3%",D0170032259a
04079,순두부찌개,S0430000009a
05002,"개암, 헤이즐넛, 볶은것",E0010000009n
05004,"도토리, 가루",E0020000005a
05005,"도토리묵, 가루",E0040000005a
05010,도토리묵,E0040000009a
05011,"들깨, 말린것",E0050000001a
05015,"땅콩, 중립종, 말린것",E0070040001a
05017,"땅콩, 볶은것",E0070000009n
05018,"땅콩, 삶은것, 소금첨가",E0070000009b
05019,"땅콩, 조미, 볶은것",E007000000Do
05020,"땅콩, 가루",E0070000005a
05026,"마카다미아, 조미, 볶은것",E012000000Dn
05028,"밤, 생것",E0140000000a
05033,"밤, 말린것",E0140000001a
05035,"밤, 삶은것",E0140000009b
05041,"밤, 통조림",E014000000Ra
05043,"브라질너트, 말린것",E0170000001a
05044,"브라질너트, 조미, 볶은것",E017000000Dn
05045,"삼씨(대마씨), 말린것",E0180000001a
05048,"아몬드, 말린것",E0200000001a
05049,"아몬드, 조미, 볶은것",E020000000Dn
05050,"연씨, 생것",E0210000580a
05052,"은행, 생것",E0220000000a
05053,"은행, 삶은것",E0220000009b
05054,"잣, 말린것",E0230000001a
05055,"잣, 볶은것",E0230000009n
05058,"참깨, 검은색, 말린것",E0260010001a
05059,"참깨, 검은색, 볶은것",E0260010009n
05061,"참깨, 흰색, 볶은것",E0260020009n
05062,"참깨 과자, 엿강정",E0270010009a
05064,"캐슈넛, 조미, 볶은것",E029000000Da
05065,"코코넛, 말린것",E0300000001a
05068,"코코넛, 코코넛밀크",E0300000609a
05069,코코넛수,E0310000619a
05070,"피스타치오, 말린것",E0320000001a
05071,"피스타치오, 조미, 볶은것",E032000000Dn
05072,"피칸, 말린것",E0330000001a
05073,"피칸, 조미, 볶은것",E033000000Dn
05074,"해바라기씨, 말린것",E0340000001a
05075,"해바라기씨, 볶은것",E0340000009n
05076,"해바라기씨, 조미, 볶은것",E034000000Dn
05077,"호두, 말린것",E0350000001a
05078,"호두, 볶은것",E0350000009n
05079,"호박씨, 말린것",E0360000001a
